t,s,alpha(t+s)-beta(s),alpha(t+s),beta(s),gamma_used
-10.650000000000093,-50.0,0,0,0,1
-10.640000000000093,-50.0,0,0,0,1
-10.630000000000093,-50.0,0,0,0,1
-10.620000000000093,-50.0,0,0,0,1
-10.610000000000094,-50.0,0,0,0,1
-10.600000000000094,-50.0,0,0,0,1
-10.590000000000094,-50.0,0,0,0,1
-10.580000000000094,-50.0,0,0,0,1
-10.570000000000094,-50.0,0,0,0,1
-10.560000000000095,-50.0,0,0,0,1
-10.550000000000095,-50.0,0,0,0,1
-10.540000000000095,-50.0,0,0,0,1
-10.530000000000095,-50.0,0,0,0,1
-10.520000000000095,-50.0,0,0,0,1
-10.510000000000096,-50.0,0,0,0,1
-10.500000000000096,-50.0,0,0,0,1
-10.490000000000096,-50.0,0,0,0,1
-10.480000000000096,-50.0,0,0,0,1
-10.470000000000097,-50.0,0,0,0,1
-10.460000000000097,-50.0,0,0,0,1
-10.450000000000097,-50.0,0,0,0,1
-10.440000000000097,-50.0,0,0,0,1
-10.430000000000097,-50.0,0,0,0,1
-10.420000000000098,-50.0,0,0,0,1
-10.410000000000098,-50.0,0,0,0,1
-10.400000000000098,-50.0,0,0,0,1
-10.390000000000098,-50.0,0,0,0,1
-10.380000000000098,-50.0,0,0,0,1
-10.370000000000099,-50.0,0,0,0,1
-10.360000000000099,-50.0,0,0,0,1
-10.3500000000001,-50.0,0,0,0,1
-10.3400000000001,-50.0,0,0,0,1
-10.3300000000001,-50.0,0,0,0,1
-10.3200000000001,-50.0,0,0,0,1
-10.3100000000001,-50.0,0,0,0,1
-10.3000000000001,-50.0,0,0,0,1
-10.2900000000001,-50.0,0,0,0,1
-10.2800000000001,-50.0,0,0,0,1
-10.2700000000001,-50.0,0,0,0,1
-10.260000000000101,-50.0,0,0,0,1
-10.250000000000101,-50.0,0,0,0,1
-10.240000000000101,-50.0,0,0,0,1
-10.230000000000102,-50.0,0,0,0,1
-10.220000000000102,-50.0,0,0,0,1
-10.210000000000102,-50.0,0,0,0,1
-10.200000000000102,-50.0,0,0,0,1
-10.190000000000103,-50.0,0,0,0,1
-10.180000000000103,-50.0,0,0,0,1
-10.170000000000103,-50.0,0,0,0,1
-10.160000000000103,-50.0,0,0,0,1
-10.150000000000103,-50.0,0,0,0,1
-10.140000000000104,-50.0,0,0,0,1
-10.130000000000104,-50.0,0,0,0,1
-10.120000000000104,-50.0,0,0,0,1
-10.110000000000104,-50.0,0,0,0,1
-10.100000000000104,-50.0,0,0,0,1
-10.090000000000105,-50.0,0,0,0,1
-10.080000000000105,-50.0,0,0,0,1
-10.070000000000105,-50.0,0,0,0,1
-10.060000000000105,-50.0,0,0,0,1
-10.050000000000106,-50.0,0,0,0,1
-10.040000000000106,-50.0,0,0,0,1
-10.030000000000106,-50.0,0,0,0,1
-10.020000000000106,-50.0,0,0,0,1
-10.010000000000106,-50.0,0,0,0,1
-10.000000000000107,-50.0,0,0,0,1
-9.990000000000107,-50.0,0,0,0,1
-9.980000000000107,-50.0,0,0,0,1
-9.970000000000107,-50.0,0,0,0,1
-9.960000000000107,-50.0,0,0,0,1
-9.950000000000108,-50.0,0,0,0,1
-9.940000000000108,-50.0,0,0,0,1
-9.930000000000108,-50.0,0,0,0,1
-9.920000000000108,-50.0,0,0,0,1
-9.910000000000108,-50.0,0,0,0,1
-9.900000000000109,-50.0,0,0,0,1
-9.890000000000109,-50.0,0,0,0,1
-9.88000000000011,-50.0,0,0,0,1
-9.87000000000011,-50.0,0,0,0,1
-9.86000000000011,-50.0,0,0,0,1
-9.85000000000011,-50.0,0,0,0,1
-9.84000000000011,-50.0,0,0,0,1
-9.83000000000011,-50.0,0,0,0,1
-9.82000000000011,-50.0,0,0,0,1
-9.81000000000011,-50.0,0,0,0,1
-9.80000000000011,-50.0,0,0,0,1
-9.790000000000111,-50.0,0,0,0,1
-9.780000000000111,-50.0,0,0,0,1
-9.770000000000111,-50.0,0,0,0,1
-9.760000000000112,-50.0,0,0,0,1
-9.750000000000112,-50.0,0,0,0,1
-9.740000000000112,-50.0,0,0,0,1
-9.730000000000112,-50.0,0,0,0,1
-9.720000000000113,-50.0,0,0,0,1
-9.710000000000113,-50.0,0,0,0,1
-9.700000000000113,-50.0,0,0,0,1
-9.690000000000113,-50.0,0,0,0,1
-9.680000000000113,-50.0,0,0,0,1
-9.670000000000114,-50.0,0,0,0,1
-9.660000000000114,-50.0,0,0,0,1
-9.650000000000114,-50.0,0,0,0,1
-9.640000000000114,-50.0,0,0,0,1
-9.630000000000114,-50.0,0,0,0,1
-9.620000000000115,-50.0,0,0,0,1
-9.610000000000115,-50.0,0,0,0,1
-9.600000000000115,-50.0,0,0,0,1
-9.590000000000115,-50.0,0,0,0,1
-9.580000000000116,-50.0,0,0,0,1
-9.570000000000116,-50.0,0,0,0,1
-9.560000000000116,-50.0,0,0,0,1
-9.550000000000116,-50.0,0,0,0,1
-9.540000000000116,-50.0,0,0,0,1
-9.530000000000117,-50.0,0,0,0,1
-9.520000000000117,-50.0,0,0,0,1
-9.510000000000117,-50.0,0,0,0,1
-9.500000000000117,-50.0,0,0,0,1
-9.490000000000117,-50.0,0,0,0,1
-9.480000000000118,-50.0,0,0,0,1
-9.470000000000118,-50.0,0,0,0,1
-9.460000000000118,-50.0,0,0,0,1
-9.450000000000118,-50.0,0,0,0,1
-9.440000000000119,-50.0,0,0,0,1
-9.430000000000119,-50.0,0,0,0,1
-9.420000000000119,-50.0,0,0,0,1
-9.41000000000012,-50.0,0,0,0,1
-9.40000000000012,-50.0,0,0,0,1
-9.39000000000012,-50.0,0,0,0,1
-9.38000000000012,-50.0,0,0,0,1
-9.37000000000012,-50.0,0,0,0,1
-9.36000000000012,-50.0,0,0,0,1
-9.35000000000012,-50.0,0,0,0,1
-9.34000000000012,-50.0,0,0,0,1
-9.33000000000012,-50.0,0,0,0,1
-9.320000000000121,-50.0,0,0,0,1
-9.310000000000121,-50.0,0,0,0,1
-9.300000000000122,-50.0,0,0,0,1
-9.290000000000122,-50.0,0,0,0,1
-9.280000000000122,-50.0,0,0,0,1
-9.270000000000122,-50.0,0,0,0,1
-9.260000000000122,-50.0,0,0,0,1
-9.250000000000123,-50.0,0,0,0,1
-9.240000000000123,-50.0,0,0,0,1
-9.230000000000123,-50.0,0,0,0,1
-9.220000000000123,-50.0,0,0,0,1
-9.210000000000123,-50.0,0,0,0,1
-9.200000000000124,-50.0,0,0,0,1
-9.190000000000124,-50.0,0,0,0,1
-9.180000000000124,-50.0,0,0,0,1
-9.170000000000124,-50.0,0,0,0,1
-9.160000000000124,-50.0,0,0,0,1
-9.150000000000125,-50.0,0,0,0,1
-9.140000000000125,-50.0,0,0,0,1
-9.130000000000125,-50.0,0,0,0,1
-9.120000000000125,-50.0,0,0,0,1
-9.110000000000126,-50.0,0,0,0,1
-9.100000000000126,-50.0,0,0,0,1
-9.090000000000126,-50.0,0,0,0,1
-9.080000000000126,-50.0,0,0,0,1
-9.070000000000126,-50.0,0,0,0,1
-9.060000000000127,-50.0,0,0,0,1
-9.050000000000127,-50.0,0,0,0,1
-9.040000000000127,-50.0,0,0,0,1
-9.030000000000127,-50.0,0,0,0,1
-9.020000000000127,-50.0,0,0,0,1
-9.010000000000128,-50.0,0,0,0,1
-9.000000000000128,-50.0,0,0,0,1
-8.990000000000128,-50.0,0,0,0,1
-8.980000000000128,-50.0,0,0,0,1
-8.970000000000129,-50.0,0,0,0,1
-8.960000000000129,-50.0,0,0,0,1
-8.950000000000129,-50.0,0,0,0,1
-8.94000000000013,-50.0,0,0,0,1
-8.93000000000013,-50.0,0,0,0,1
-8.92000000000013,-50.0,0,0,0,1
-8.91000000000013,-50.0,0,0,0,1
-8.90000000000013,-50.0,0,0,0,1
-8.89000000000013,-50.0,0,0,0,1
-8.88000000000013,-50.0,0,0,0,1
-8.87000000000013,-50.0,0,0,0,1
-8.86000000000013,-50.0,0,0,0,1
-8.850000000000131,-50.0,0,0,0,1
-8.840000000000131,-50.0,0,0,0,1
-8.830000000000132,-50.0,0,0,0,1
-8.820000000000132,-50.0,0,0,0,1
-8.810000000000132,-50.0,0,0,0,1
-8.800000000000132,-50.0,0,0,0,1
-8.790000000000132,-50.0,0,0,0,1
-8.780000000000133,-50.0,0,0,0,1
-8.770000000000133,-50.0,0,0,0,1
-8.760000000000133,-50.0,0,0,0,1
-8.750000000000133,-50.0,0,0,0,1
-8.740000000000133,-50.0,0,0,0,1
-8.730000000000134,-50.0,0,0,0,1
-8.720000000000134,-50.0,0,0,0,1
-8.710000000000134,-50.0,0,0,0,1
